candidate_id,candidate_name,website,is_reference
P-001,"РВД Manuli TRACTOR 1SN DN8 5/16"" 215 бар",rvd174.ru,0
P-002,"РВД Semperit 1SN DN8 5/16"" 215 бар",rvd174.ru,0
P-003,"РВД Deston 1SN DN6 1/4"" 225 бар",rvd174.ru,0
P-004,"РВД Manuli TRACTOR 1SN 08 5/16"" Ру215",store.rvdural.ru,0
P-005,"РВД Semperit 1SN Ду8 5/16"" Ру215",store.rvdural.ru,0
P-006,"Рукав высокого давления (РВД) 1SN DN06-DESTON",automaster05.ru,0
P-007,"Рукав 1SN DN8 P=215 бар",nz-parts.ru,0
P-008,"Рукав высокого давления DIN 1SN d=08 Semperit",lambrizseller.ru,0
P-009,"Рукав РВД 1SN DN06 P225 DESTON",promma.ru,0
P-010,"РВД Manuli 1SN 5/16"" Ру215 TRACTOR",lomaxstore.ru,0
P-011,"Рукав Semperit 1 SN 8×3,5",ankas.ru,0
P-012,"Рукав высокого давления Deston DN06-1SN",gidromsh.ru,0
