fact_id,candidate_id,subject_entity,metric_id,metric,value,source_id,source_date,confidence,allowed_wording,prohibited_extension
F-0001,P-001,"РВД Manuli TRACTOR 1SN DN8 5/16"" 215 бар",M01,Material_Durability_Score,2,"SRC-P-001-01",2026-09-22,DISCOVERED,"РВД Manuli TRACTOR 1SN DN8 5/16"" 215 бар: демонстрирует минимальный уровень по показателю «Оценка долговечности и износостойкости используемых материалов для РВД.» (оценка 2/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0002,P-001,"РВД Manuli TRACTOR 1SN DN8 5/16"" 215 бар",M02,Pressure_Resistance_Index,4,"SRC-P-001-01",2026-09-22,OWNER_REPORTED,"РВД Manuli TRACTOR 1SN DN8 5/16"" 215 бар: демонстрирует низкий уровень по показателю «Индекс способности РВД выдерживать высокое рабочее давление без деформации.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0003,P-001,"РВД Manuli TRACTOR 1SN DN8 5/16"" 215 бар",M03,Temperature_Range_Capacity,4,"SRC-P-001-01",2026-09-22,OWNER_REPORTED,"РВД Manuli TRACTOR 1SN DN8 5/16"" 215 бар: демонстрирует низкий уровень по показателю «Показатель допустимого диапазона рабочих температур для конкретного РВД.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0004,P-001,"РВД Manuli TRACTOR 1SN DN8 5/16"" 215 бар",M04,Flexibility_Fatigue_Life,4,"SRC-P-001-01",2026-09-22,OWNER_REPORTED,"РВД Manuli TRACTOR 1SN DN8 5/16"" 215 бар: демонстрирует низкий уровень по показателю «Срок службы РВД при циклических изгибах и деформациях.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0005,P-001,"РВД Manuli TRACTOR 1SN DN8 5/16"" 215 бар",M05,Corrosion_Resistance_Rating,4,"SRC-P-001-01",2026-09-22,OWNER_REPORTED,"РВД Manuli TRACTOR 1SN DN8 5/16"" 215 бар: демонстрирует низкий уровень по показателю «Рейтинг устойчивости компонентов РВД к коррозии в различных средах.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0006,P-001,"РВД Manuli TRACTOR 1SN DN8 5/16"" 215 бар",M06,Delivery_Damage_Risk,0,"SRC-P-001-01",2026-09-22,DISCOVERED,"РВД Manuli TRACTOR 1SN DN8 5/16"" 215 бар: по показателю «Вероятность повреждения товара при транспортировке.» риск не зафиксирован (оценка 0/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0007,P-001,"РВД Manuli TRACTOR 1SN DN8 5/16"" 215 бар",M07,Manufacturing_Defect_Probability,0,"SRC-P-001-01",2026-09-22,DISCOVERED,"РВД Manuli TRACTOR 1SN DN8 5/16"" 215 бар: по показателю «Оценка вероятности наличия скрытых производственных дефектов в партии товара.» риск не зафиксирован (оценка 0/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0008,P-002,"РВД Semperit 1SN DN8 5/16"" 215 бар",M01,Material_Durability_Score,2,"SRC-P-002-01",2026-09-22,DISCOVERED,"РВД Semperit 1SN DN8 5/16"" 215 бар: демонстрирует минимальный уровень по показателю «Оценка долговечности и износостойкости используемых материалов для РВД.» (оценка 2/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0009,P-002,"РВД Semperit 1SN DN8 5/16"" 215 бар",M02,Pressure_Resistance_Index,4,"SRC-P-002-01",2026-09-22,OWNER_REPORTED,"РВД Semperit 1SN DN8 5/16"" 215 бар: демонстрирует низкий уровень по показателю «Индекс способности РВД выдерживать высокое рабочее давление без деформации.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0010,P-002,"РВД Semperit 1SN DN8 5/16"" 215 бар",M03,Temperature_Range_Capacity,4,"SRC-P-002-01",2026-09-22,OWNER_REPORTED,"РВД Semperit 1SN DN8 5/16"" 215 бар: демонстрирует низкий уровень по показателю «Показатель допустимого диапазона рабочих температур для конкретного РВД.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
