candidate_id,website,metric_id,expert_score_raw,capped_score,decision_status,evidence_status,max_allowed_score,source_ids
P-001,rvd174.ru,M01,4,2,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-001-01"
P-001,rvd174.ru,M02,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-001-01"
P-001,rvd174.ru,M03,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-001-01"
P-001,rvd174.ru,M04,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-001-01"
P-001,rvd174.ru,M05,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-001-01"
P-001,rvd174.ru,M06,0,0,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-001-01"
P-001,rvd174.ru,M07,0,0,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-001-01"
P-002,rvd174.ru,M01,4,2,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-002-01"
P-002,rvd174.ru,M02,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-002-01"
P-002,rvd174.ru,M03,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-002-01"
P-002,rvd174.ru,M04,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-002-01"
P-002,rvd174.ru,M05,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-002-01"
P-002,rvd174.ru,M06,0,0,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-002-01"
P-002,rvd174.ru,M07,0,0,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-002-01"
P-003,rvd174.ru,M01,4,2,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-003-01"
P-003,rvd174.ru,M02,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-003-01"
P-003,rvd174.ru,M03,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-003-01"
P-003,rvd174.ru,M04,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-003-01"
P-003,rvd174.ru,M05,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-003-01"
P-003,rvd174.ru,M06,0,0,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-003-01"
P-003,rvd174.ru,M07,0,0,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-003-01"
P-004,store.rvdural.ru,M01,0,0,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-004-01"
P-004,store.rvdural.ru,M02,8,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-004-01"
P-004,store.rvdural.ru,M03,8,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-004-01"
P-004,store.rvdural.ru,M04,8,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-004-01"
P-004,store.rvdural.ru,M05,8,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-004-01"
P-004,store.rvdural.ru,M06,10,10,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-004-01"
P-004,store.rvdural.ru,M07,10,10,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-004-01"
P-005,store.rvdural.ru,M01,0,0,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-005-01"
P-005,store.rvdural.ru,M02,8,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-005-01"
P-005,store.rvdural.ru,M03,8,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-005-01"
P-005,store.rvdural.ru,M04,8,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-005-01"
P-005,store.rvdural.ru,M05,8,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-005-01"
P-005,store.rvdural.ru,M06,10,10,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-005-01"
P-005,store.rvdural.ru,M07,10,10,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-005-01"
